"60";"61";"62";"63";"64";"65";"66";"67";"68";"69";"70"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"2";"2";"2";"2"
"0";"0";"1";"1";"11";"1";"1";"AE";"AE";"AE";"AE"
"1";"1";"1";"1";"0";"1";"1";"1";"AE";"AE";"AE"
"7";"0";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE"
"BS";"0";"0";"0";"0";"0";"0";"0";"3";"3";"3"
"0";"2";"0";"0";"0";"0";"0";"AE";"AE";"AE";"AE"
"0";"0";"7";"0";"0";"0";"0";"0";"AE";"AE";"AE"
"1";"1";"1";"1";"1";"0";"1";"AE";"AE";"AE";"AE"
"BS";"BS";"BS";"BS";"BS";"BS";"0";"1";"1";"1";"1"
"BS";"BS";"BS";"BS";"BS";"2";"2";"2";"2";"2";"2"
"BS";"BS";"BS";"BS";"BS";"BS";"1";"1";"1";"1";"1"
"BS";"BS";"BS";"0";"0";"0";"0";"0";"1";"0";"0"
"BS";"BS";"BS";"BS";"BS";"BS";"1";"1";"0";"1";"1"
"0";"0";"5";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE"
"3";"0";"0";"1";"1";"1";"13";"0";"0";"7";"AE"
"5";"5";"1";"1";"1";"AE";"AE";"AE";"AE";"AE";"AE"
"BS";"BS";"0";"0";"0";"0";"0";"5";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"1";"AE";"AE"
"BS";"0";"0";"0";"4";"0";"0";"D";"D";"D";"D"
"BS";"0";"0";"0";"1";"1";"1";"1";"1";"0";"1"
"BS";"BS";"BS";"0";"0";"0";"0";"0";"2";"2";"2"
"2";"2";"2";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE"
"1";"0";"1";"1";"11";"1";"1";"1";"AE";"AE";"AE"
"BS";"BS";"BS";"BS";"0";"0";"0";"0";"1";"0";"0"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"0";"0";"0";"5"
"BS";"BS";"BS";"1";"1";"1";"13";"1";"0";"9";"3"
"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"AE"
"1";"1";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE"
"BS";"1";"4";"4";"5";"1";"1";"1";"1";"0";"6"
"0";"7";"0";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE"
"0";"0";"0";"0";"0";"0";"0";"6";"8";"7";"0"
"0";"0";"0";"0";"4";"0";"13";"0";"1";"1";"AE"
"1";"0";"0";"0";"0";"0";"0";"AE";"AE";"AE";"AE"
"0";"0";"0";"10";"0";"0";"0";"0";"0";"AE";"AE"
"0";"0";"0";"0";"0";"0";"1";"AE";"AE";"AE";"AE"
"3";"3";"3";"3";"0";"3";"3";"3";"0";"AE";"AE"
"BS";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0"
"3";"3";"0";"2";"0";"3";"7";"0";"D";"D";"D"
"BS";"BS";"BS";"BS";"BS";"10";"0";"1";"1";"1";"0"
"0";"2";"2";"0";"2";"2";"6";"0";"2";"AE";"AE"
"BS";"BS";"0";"1";"0";"1";"1";"1";"1";"0";"1"
"1";"0";"1";"1";"0";"AE";"AE";"AE";"AE";"AE";"AE"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"10"
"0";"0";"0";"0";"0";"0";"10";"AE";"AE";"AE";"AE"
"BS";"BS";"BS";"BS";"2";"9";"2";"2";"2";"2";"2"
"BS";"BS";"BS";"3";"3";"3";"3";"3";"0";"3";"3"
"BS";"BS";"BS";"BS";"1";"1";"1";"1";"1";"1";"1"
"0";"0";"0";"0";"0";"1";"AE";"AE";"AE";"AE";"AE"
"2";"2";"8";"D";"D";"D";"D";"D";"D";"D";"D"
"4";"2";"2";"0";"2";"2";"2";"2";"AE";"AE";"AE"
"1";"0";"1";"1";"0";"12";"0";"D";"D";"D";"D"
"BS";"BS";"BS";"BS";"0";"1";"0";"0";"1";"1";"1"
"1";"1";"1";"0";"1";"AE";"AE";"AE";"AE";"AE";"AE"
"0";"0";"1";"12";"0";"1";"1";"1";"1";"0";"AE"
"BS";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1"
"BS";"BS";"1";"0";"D";"D";"D";"D";"D";"D";"D"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"1"
"BS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"1";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"1";"1";"0";"D"
"1";"1";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE"
"1";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE"
"0";"0";"0";"0";"0";"3";"7";"3";"3";"3";"3"
"BS";"BS";"BS";"3";"3";"3";"3";"3";"3";"3";"0"
"2";"0";"5";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE"
"BS";"BS";"BS";"BS";"BS";"BS";"1";"0";"0";"0";"0"
"BS";"BS";"BS";"0";"0";"0";"0";"0";"4";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"0";"0";"0";"0";"0";"0";"1";"1";"AE";"AE";"AE"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"1";"0"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"3";"0"
"BS";"BS";"BS";"BS";"0";"1";"1";"1";"1";"1";"1"
"BS";"BS";"BS";"2";"2";"2";"2";"2";"2";"2";"2"
"1";"0";"1";"0";"1";"1";"1";"D";"D";"D";"D"
"0";"0";"0";"0";"0";"0";"1";"6";"6";"AE";"AE"
"0";"0";"0";"1";"1";"AE";"AE";"AE";"AE";"AE";"AE"
"1";"1";"1";"1";"0";"D";"D";"D";"D";"D";"D"
"4";"4";"4";"4";"4";"4";"4";"4";"10";"AE";"AE"
"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1"
"3";"3";"3";"3";"3";"3";"3";"3";"3";"AE";"AE"
"5";"0";"1";"0";"AE";"AE";"AE";"AE";"AE";"AE";"AE"
"BS";"BS";"0";"0";"1";"1";"1";"1";"1";"1";"1"
"BS";"BS";"BS";"BS";"BS";"0";"0";"0";"1";"0";"0"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"1";"1";"1"
"BS";"BS";"BS";"0";"0";"0";"0";"0";"0";"0";"13"
"3";"1";"1";"1";"1";"0";"AE";"AE";"AE";"AE";"AE"
"1";"1";"1";"1";"1";"1";"AE";"AE";"AE";"AE";"AE"
"1";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE";"AE"
"BS";"BS";"BS";"0";"0";"0";"0";"0";"1";"1";"1"
"BS";"0";"2";"2";"2";"2";"2";"0";"2";"2";"2"
"0";"0";"0";"0";"1";"AE";"AE";"AE";"AE";"AE";"AE"
"BS";"BS";"0";"0";"0";"1";"1";"15";"D";"D";"D"
